"Año","Mes","Trimestre","Llamante","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla","No consta"
"Año 2011","Octubre","Cuarto","Usuaria","66.0","118.0","73.0","81.0","49.0","55.0","207.0","253.0","18.0","5.0","84.0","134.0","117.0","161.0","150.0","62.0","12.0","32.0","54.0","10.0","21.0","6.0","7.0","48.0","14.0","30.0","42.0","12.0","23.0","89.0","557.0","38.0","28.0","59.0","224.0","65.0","315.0","44.0","36.0","111.0","25.0","17.0","77.0","1124.0","129.0","45.0","18.0","76.0","48.0","37.0","9.0","9.0",""
"Año 2011","Octubre","Cuarto","Familiares/Personas allegadas","17.0","38.0","20.0","30.0","18.0","21.0","60.0","83.0","3.0","1.0","27.0","27.0","31.0","54.0","40.0","30.0","2.0","9.0","16.0","7.0","6.0","4.0","2.0","19.0","6.0","8.0","5.0","6.0","9.0","23.0","162.0","8.0","13.0","19.0","44.0","17.0","72.0","21.0","13.0","40.0","10.0","6.0","32.0","321.0","48.0","22.0","5.0","30.0","15.0","10.0","3.0","2.0",""
"Año 2011","Octubre","Cuarto","Otros","2.0","4.0","1.0","1.0","","1.0","6.0","12.0","","","5.0","2.0","4.0","6.0","2.0","","1.0","","","","","","","1.0","","","1.0","2.0","1.0","2.0","12.0","1.0","","4.0","8.0","4.0","10.0","","1.0","3.0","","1.0","1.0","36.0","2.0","1.0","","2.0","3.0","","1.0","2.0",""
"Año 2011","Noviembre","Cuarto","Usuaria","61.0","137.0","66.0","119.0","50.0","59.0","198.0","230.0","10.0","1.0","86.0","127.0","105.0","152.0","117.0","53.0","14.0","29.0","50.0","10.0","46.0","13.0","7.0","54.0","12.0","38.0","42.0","22.0","20.0","68.0","611.0","52.0","13.0","64.0","242.0","59.0","294.0","84.0","32.0","98.0","44.0","21.0","101.0","1135.0","146.0","49.0","22.0","96.0","39.0","20.0","10.0","5.0",""
"Año 2011","Noviembre","Cuarto","Familiares/Personas allegadas","15.0","31.0","18.0","34.0","12.0","21.0","69.0","86.0","4.0","2.0","31.0","49.0","38.0","50.0","50.0","26.0","11.0","10.0","14.0","4.0","10.0","3.0","2.0","21.0","4.0","4.0","15.0","8.0","9.0","20.0","173.0","13.0","10.0","20.0","49.0","15.0","86.0","22.0","9.0","32.0","9.0","4.0","36.0","339.0","48.0","18.0","14.0","31.0","20.0","13.0","5.0","1.0",""
"Año 2011","Noviembre","Cuarto","Otros","1.0","3.0","","4.0","","3.0","9.0","6.0","1.0","","6.0","6.0","3.0","9.0","8.0","3.0","","2.0","1.0","","","1.0","","2.0","","","1.0","1.0","","","10.0","","","","9.0","1.0","12.0","","4.0","4.0","","","","34.0","5.0","","1.0","5.0","4.0","","","1.0",""
"Año 2011","Diciembre","Cuarto","Usuaria","46.0","90.0","57.0","110.0","37.0","59.0","184.0","238.0","11.0","10.0","78.0","106.0","79.0","144.0","116.0","45.0","10.0","41.0","33.0","10.0","23.0","19.0","4.0","50.0","20.0","23.0","41.0","7.0","19.0","69.0","454.0","38.0","28.0","62.0","175.0","53.0","250.0","54.0","26.0","63.0","17.0","19.0","70.0","1006.0","135.0","46.0","14.0","97.0","43.0","27.0","4.0","6.0",""
"Año 2011","Diciembre","Cuarto","Familiares/Personas allegadas","16.0","27.0","17.0","31.0","15.0","20.0","61.0","81.0","4.0","1.0","20.0","36.0","29.0","49.0","44.0","15.0","6.0","11.0","13.0","9.0","7.0","5.0","2.0","13.0","1.0","5.0","8.0","7.0","5.0","17.0","151.0","9.0","8.0","20.0","40.0","14.0","68.0","27.0","16.0","45.0","12.0","8.0","27.0","323.0","41.0","13.0","5.0","31.0","12.0","7.0","1.0","",""
"Año 2011","Diciembre","Cuarto","Otros","1.0","3.0","1.0","4.0","2.0","","8.0","7.0","1.0","","1.0","3.0","4.0","3.0","1.0","3.0","1.0","1.0","","1.0","1.0","","1.0","","","3.0","","1.0","1.0","3.0","7.0","","","1.0","8.0","","5.0","1.0","1.0","4.0","","","","34.0","2.0","2.0","","2.0","","2.0","","",""
"Año 2012","Enero","Primero","Usuaria","38.0","93.0","62.0","97.0","49.0","44.0","131.0","204.0","11.0","6.0","50.0","89.0","88.0","121.0","102.0","58.0","21.0","30.0","40.0","22.0","30.0","7.0","7.0","49.0","4.0","22.0","35.0","18.0","25.0","74.0","425.0","47.0","23.0","53.0","168.0","44.0","242.0","55.0","33.0","99.0","23.0","25.0","55.0","883.0","93.0","47.0","25.0","53.0","22.0","19.0","13.0","10.0",""
"Año 2012","Enero","Primero","Familiares/Personas allegadas","19.0","20.0","25.0","32.0","11.0","17.0","54.0","49.0","4.0","2.0","19.0","37.0","35.0","44.0","34.0","16.0","12.0","10.0","25.0","3.0","14.0","4.0","2.0","14.0","4.0","11.0","12.0","5.0","2.0","21.0","116.0","15.0","11.0","17.0","53.0","14.0","46.0","22.0","14.0","30.0","10.0","7.0","28.0","276.0","32.0","32.0","9.0","26.0","13.0","17.0","1.0","3.0",""
"Año 2012","Enero","Primero","Otros","1.0","2.0","3.0","1.0","","1.0","3.0","4.0","3.0","","2.0","1.0","5.0","1.0","4.0","","","","2.0","1.0","","","1.0","2.0","","","1.0","","","2.0","7.0","","1.0","1.0","8.0","","11.0","1.0","2.0","2.0","1.0","1.0","1.0","44.0","2.0","1.0","","1.0","1.0","","","",""
"Año 2012","Febrero","Primero","Usuaria","44.0","66.0","47.0","80.0","28.0","32.0","101.0","185.0","8.0","3.0","56.0","68.0","86.0","93.0","81.0","40.0","15.0","22.0","31.0","5.0","25.0","11.0","1.0","35.0","17.0","18.0","44.0","8.0","18.0","62.0","355.0","35.0","31.0","32.0","126.0","49.0","164.0","49.0","48.0","86.0","17.0","12.0","48.0","772.0","84.0","44.0","24.0","56.0","24.0","13.0","4.0","8.0",""
"Año 2012","Febrero","Primero","Familiares/Personas allegadas","16.0","20.0","17.0","21.0","6.0","19.0","39.0","53.0","","2.0","20.0","33.0","26.0","39.0","26.0","11.0","3.0","8.0","11.0","2.0","9.0","3.0","4.0","15.0","7.0","2.0","15.0","4.0","4.0","16.0","101.0","7.0","5.0","6.0","31.0","13.0","47.0","17.0","9.0","20.0","2.0","6.0","25.0","211.0","23.0","14.0","6.0","19.0","10.0","6.0","","2.0",""
"Año 2012","Febrero","Primero","Otros","1.0","1.0","2.0","3.0","4.0","3.0","3.0","6.0","1.0","","2.0","1.0","3.0","6.0","4.0","","1.0","","","","1.0","","","1.0","1.0","2.0","","1.0","1.0","2.0","9.0","","","3.0","5.0","1.0","7.0","7.0","1.0","2.0","1.0","2.0","5.0","32.0","3.0","1.0","","2.0","","1.0","","1.0",""
"Año 2012","Marzo","Primero","Usuaria","50.0","70.0","41.0","80.0","28.0","38.0","129.0","151.0","1.0","2.0","50.0","81.0","56.0","122.0","95.0","43.0","14.0","22.0","46.0","4.0","34.0","14.0","5.0","31.0","12.0","9.0","29.0","14.0","12.0","40.0","375.0","50.0","18.0","34.0","150.0","50.0","209.0","31.0","19.0","67.0","22.0","30.0","43.0","800.0","103.0","43.0","8.0","57.0","24.0","12.0","7.0","10.0",""
"Año 2012","Marzo","Primero","Familiares/Personas allegadas","16.0","18.0","15.0","28.0","14.0","16.0","46.0","48.0","4.0","2.0","14.0","25.0","17.0","37.0","31.0","8.0","9.0","8.0","9.0","","4.0","6.0","","11.0","5.0","6.0","9.0","1.0","4.0","10.0","108.0","9.0","3.0","9.0","39.0","8.0","47.0","16.0","7.0","33.0","7.0","12.0","16.0","224.0","29.0","12.0","7.0","12.0","10.0","5.0","2.0","1.0",""
"Año 2012","Marzo","Primero","Otros","1.0","1.0","2.0","3.0","","2.0","6.0","6.0","1.0","","2.0","1.0","2.0","2.0","5.0","","","1.0","","","","","","","1.0","","2.0","","1.0","1.0","6.0","","","1.0","4.0","","11.0","2.0","1.0","3.0","","","","20.0","2.0","1.0","","","","","","",""
"Año 2012","Abril","Segundo","Usuaria","38.0","74.0","30.0","67.0","24.0","32.0","132.0","184.0","9.0","1.0","55.0","86.0","90.0","96.0","92.0","47.0","14.0","23.0","29.0","3.0","16.0","12.0","6.0","35.0","6.0","10.0","20.0","6.0","13.0","61.0","398.0","41.0","24.0","39.0","125.0","35.0","226.0","41.0","17.0","56.0","31.0","14.0","46.0","781.0","109.0","44.0","15.0","39.0","21.0","12.0","8.0","12.0",""
"Año 2012","Abril","Segundo","Familiares/Personas allegadas","16.0","26.0","15.0","23.0","14.0","17.0","32.0","53.0","6.0","1.0","8.0","35.0","28.0","39.0","22.0","10.0","5.0","4.0","6.0","","11.0","8.0","","19.0","2.0","6.0","6.0","1.0","3.0","11.0","121.0","9.0","4.0","9.0","35.0","13.0","50.0","17.0","12.0","28.0","5.0","7.0","13.0","235.0","37.0","13.0","3.0","15.0","2.0","5.0","2.0","1.0",""
"Año 2012","Abril","Segundo","Otros","1.0","4.0","2.0","5.0","1.0","1.0","5.0","6.0","","","","3.0","5.0","1.0","1.0","1.0","1.0","1.0","","","","","","2.0","1.0","4.0","","1.0","","5.0","5.0","","2.0","","5.0","5.0","1.0","2.0","","","","","1.0","37.0","4.0","","","1.0","2.0","","","",""
"Año 2012","Mayo","Segundo","Usuaria","47.0","86.0","50.0","97.0","31.0","53.0","141.0","189.0","7.0","4.0","54.0","77.0","89.0","133.0","106.0","42.0","9.0","21.0","33.0","3.0","26.0","5.0","8.0","40.0","12.0","21.0","28.0","8.0","20.0","61.0","396.0","43.0","26.0","51.0","166.0","44.0","228.0","58.0","34.0","89.0","13.0","28.0","41.0","819.0","100.0","58.0","14.0","58.0","29.0","8.0","18.0","8.0",""
"Año 2012","Mayo","Segundo","Familiares/Personas allegadas","13.0","17.0","16.0","22.0","13.0","8.0","49.0","63.0","","","20.0","27.0","31.0","36.0","33.0","9.0","5.0","3.0","6.0","2.0","10.0","4.0","2.0","12.0","5.0","3.0","5.0","5.0","8.0","18.0","96.0","4.0","3.0","11.0","30.0","11.0","60.0","16.0","6.0","30.0","5.0","6.0","16.0","236.0","46.0","15.0","3.0","23.0","12.0","4.0","1.0","1.0",""
"Año 2012","Mayo","Segundo","Otros","3.0","2.0","2.0","2.0","","","5.0","3.0","","","2.0","1.0","2.0","4.0","4.0","","2.0","","1.0","","","","","1.0","","","1.0","1.0","2.0","2.0","7.0","1.0","","","3.0","1.0","12.0","3.0","2.0","3.0","3.0","2.0","","32.0","2.0","3.0","1.0","1.0","","","","",""
"Año 2012","Junio","Segundo","Usuaria","40.0","70.0","43.0","83.0","29.0","44.0","134.0","183.0","3.0","2.0","55.0","57.0","79.0","99.0","103.0","44.0","16.0","29.0","30.0","8.0","25.0","4.0","5.0","32.0","16.0","15.0","32.0","9.0","24.0","71.0","371.0","44.0","21.0","42.0","151.0","39.0","245.0","65.0","38.0","82.0","17.0","11.0","61.0","869.0","101.0","33.0","23.0","47.0","34.0","16.0","10.0","4.0",""
"Año 2012","Junio","Segundo","Familiares/Personas allegadas","14.0","26.0","20.0","24.0","7.0","14.0","48.0","54.0","2.0","1.0","15.0","20.0","27.0","52.0","23.0","13.0","3.0","11.0","7.0","6.0","10.0","7.0","","22.0","7.0","11.0","15.0","4.0","6.0","19.0","120.0","12.0","7.0","12.0","47.0","15.0","59.0","19.0","5.0","24.0","5.0","7.0","9.0","284.0","27.0","11.0","4.0","16.0","5.0","7.0","1.0","",""
"Año 2012","Junio","Segundo","Otros","","6.0","1.0","3.0","1.0","","5.0","3.0","","2.0","3.0","1.0","3.0","2.0","1.0","","1.0","3.0","1.0","","1.0","2.0","","1.0","","","3.0","1.0","","6.0","12.0","","","2.0","5.0","","6.0","1.0","","2.0","","","","34.0","2.0","1.0","","2.0","1.0","2.0","","",""
"Año 2012","Julio","Tercero","Usuaria","44.0","91.0","58.0","86.0","41.0","49.0","133.0","188.0","7.0","6.0","58.0","64.0","84.0","110.0","120.0","49.0","11.0","25.0","27.0","6.0","32.0","9.0","2.0","54.0","13.0","15.0","31.0","17.0","12.0","58.0","368.0","47.0","21.0","50.0","166.0","61.0","248.0","55.0","31.0","74.0","14.0","14.0","71.0","784.0","112.0","34.0","15.0","55.0","27.0","10.0","6.0","10.0",""
"Año 2012","Julio","Tercero","Familiares/Personas allegadas","11.0","28.0","11.0","28.0","11.0","9.0","44.0","58.0","4.0","2.0","12.0","19.0","18.0","43.0","36.0","14.0","5.0","7.0","12.0","2.0","7.0","5.0","","13.0","9.0","5.0","11.0","3.0","3.0","15.0","92.0","9.0","5.0","17.0","42.0","12.0","71.0","19.0","9.0","20.0","8.0","6.0","22.0","243.0","39.0","19.0","1.0","8.0","7.0","4.0","","2.0",""
"Año 2012","Julio","Tercero","Otros","3.0","6.0","3.0","6.0","","4.0","5.0","4.0","1.0","","3.0","3.0","1.0","5.0","7.0","","","","1.0","","1.0","","","2.0","","1.0","","2.0","1.0","1.0","9.0","","1.0","1.0","4.0","1.0","5.0","2.0","","3.0","","","4.0","30.0","4.0","3.0","","1.0","","1.0","","",""
"Año 2012","Agosto","Tercero","Usuaria","66.0","93.0","47.0","64.0","41.0","50.0","174.0","168.0","10.0","9.0","70.0","71.0","102.0","135.0","117.0","35.0","15.0","17.0","33.0","7.0","12.0","8.0","7.0","47.0","11.0","24.0","27.0","7.0","17.0","52.0","401.0","32.0","21.0","57.0","186.0","51.0","252.0","60.0","35.0","51.0","18.0","13.0","39.0","762.0","103.0","52.0","10.0","40.0","36.0","15.0","12.0","13.0",""
"Año 2012","Agosto","Tercero","Familiares/Personas allegadas","18.0","30.0","15.0","28.0","14.0","12.0","36.0","57.0","5.0","","15.0","29.0","29.0","45.0","34.0","13.0","5.0","7.0","5.0","3.0","6.0","4.0","3.0","11.0","4.0","4.0","7.0","4.0","5.0","15.0","91.0","7.0","1.0","16.0","42.0","10.0","58.0","13.0","7.0","30.0","3.0","4.0","12.0","198.0","37.0","6.0","4.0","17.0","5.0","8.0","","",""
"Año 2012","Agosto","Tercero","Otros","","5.0","1.0","2.0","1.0","2.0","7.0","3.0","1.0","","5.0","2.0","3.0","2.0","4.0","","","2.0","","","2.0","","","2.0","","1.0","1.0","1.0","2.0","","4.0","","","","","5.0","2.0","2.0","","2.0","2.0","","1.0","33.0","2.0","","","","","","","",""
"Año 2012","Septiembre","Tercero","Usuaria","29.0","78.0","40.0","89.0","17.0","42.0","138.0","182.0","2.0","4.0","54.0","81.0","67.0","104.0","105.0","36.0","7.0","11.0","19.0","9.0","13.0","6.0","","50.0","9.0","14.0","24.0","15.0","14.0","61.0","346.0","30.0","26.0","43.0","132.0","34.0","210.0","39.0","39.0","51.0","13.0","11.0","41.0","713.0","75.0","36.0","10.0","56.0","27.0","13.0","1.0","6.0",""
"Año 2012","Septiembre","Tercero","Familiares/Personas allegadas","9.0","26.0","8.0","10.0","11.0","11.0","35.0","66.0","6.0","1.0","11.0","27.0","19.0","41.0","45.0","12.0","2.0","6.0","5.0","3.0","10.0","6.0","1.0","10.0","4.0","6.0","6.0","1.0","3.0","7.0","106.0","5.0","6.0","8.0","44.0","10.0","46.0","11.0","2.0","21.0","4.0","2.0","17.0","200.0","27.0","12.0","3.0","20.0","7.0","4.0","2.0","1.0",""
"Año 2012","Septiembre","Tercero","Otros","1.0","1.0","2.0","1.0","1.0","1.0","4.0","7.0","","1.0","1.0","2.0","1.0","6.0","2.0","1.0","","","","1.0","","2.0","","2.0","","","1.0","","","2.0","9.0","","","","8.0","1.0","6.0","3.0","1.0","","1.0","","","14.0","1.0","","","","","","","",""
"Año 2012","Octubre","Cuarto","Usuaria","27.0","69.0","28.0","43.0","24.0","33.0","99.0","134.0","11.0","","53.0","83.0","55.0","107.0","94.0","25.0","13.0","14.0","16.0","2.0","25.0","4.0","4.0","25.0","5.0","20.0","29.0","6.0","5.0","43.0","321.0","24.0","12.0","47.0","114.0","32.0","135.0","34.0","29.0","82.0","15.0","16.0","33.0","628.0","100.0","24.0","14.0","41.0","18.0","21.0","2.0","13.0",""
"Año 2012","Octubre","Cuarto","Familiares/Personas allegadas","4.0","18.0","12.0","16.0","4.0","6.0","20.0","36.0","4.0","2.0","7.0","25.0","29.0","34.0","31.0","9.0","7.0","6.0","7.0","1.0","4.0","5.0","1.0","11.0","8.0","3.0","7.0","2.0","1.0","8.0","98.0","5.0","6.0","8.0","19.0","5.0","50.0","19.0","11.0","23.0","8.0","6.0","8.0","212.0","28.0","14.0","6.0","11.0","7.0","4.0","3.0","2.0",""
"Año 2012","Octubre","Cuarto","Otros","1.0","2.0","2.0","2.0","1.0","","8.0","4.0","","1.0","4.0","","1.0","2.0","1.0","","","","","1.0","1.0","","","1.0","","","","","1.0","1.0","4.0","1.0","1.0","","5.0","3.0","4.0","1.0","1.0","3.0","1.0","","","27.0","4.0","","","1.0","","","1.0","",""
"Año 2012","Noviembre","Cuarto","Usuaria","31.0","53.0","32.0","74.0","27.0","33.0","107.0","150.0","7.0","4.0","38.0","35.0","61.0","123.0","87.0","31.0","19.0","21.0","21.0","4.0","24.0","12.0","3.0","27.0","10.0","28.0","26.0","10.0","9.0","48.0","271.0","13.0","15.0","41.0","129.0","26.0","152.0","43.0","38.0","53.0","17.0","10.0","33.0","611.0","57.0","41.0","11.0","37.0","39.0","11.0","4.0","8.0",""
"Año 2012","Noviembre","Cuarto","Familiares/Personas allegadas","12.0","14.0","24.0","17.0","12.0","9.0","34.0","48.0","2.0","1.0","14.0","19.0","20.0","40.0","33.0","15.0","4.0","8.0","6.0","2.0","6.0","3.0","1.0","14.0","4.0","7.0","8.0","4.0","3.0","9.0","59.0","8.0","5.0","7.0","27.0","9.0","39.0","16.0","10.0","21.0","4.0","8.0","13.0","227.0","17.0","12.0","5.0","23.0","4.0","3.0","","4.0",""
"Año 2012","Noviembre","Cuarto","Otros","","1.0","2.0","3.0","1.0","3.0","1.0","7.0","1.0","","3.0","2.0","1.0","1.0","1.0","","1.0","","","","","","1.0","","","","","1.0","","2.0","3.0","","","1.0","3.0","2.0","11.0","1.0","1.0","1.0","","","2.0","24.0","3.0","2.0","","1.0","3.0","","","1.0",""
"Año 2012","Diciembre","Cuarto","Usuaria","38.0","75.0","45.0","42.0","28.0","28.0","101.0","129.0","5.0","2.0","32.0","60.0","52.0","136.0","105.0","24.0","21.0","19.0","36.0","13.0","18.0","10.0","2.0","28.0","19.0","19.0","28.0","6.0","25.0","51.0","274.0","26.0","16.0","35.0","122.0","35.0","149.0","47.0","29.0","78.0","21.0","12.0","67.0","719.0","91.0","51.0","14.0","52.0","20.0","12.0","2.0","5.0",""
"Año 2012","Diciembre","Cuarto","Familiares/Personas allegadas","15.0","35.0","25.0","25.0","14.0","17.0","63.0","81.0","6.0","2.0","21.0","34.0","20.0","46.0","31.0","12.0","7.0","6.0","15.0","3.0","4.0","5.0","1.0","14.0","3.0","10.0","17.0","2.0","4.0","16.0","145.0","8.0","6.0","17.0","57.0","9.0","71.0","18.0","9.0","20.0","8.0","4.0","18.0","296.0","28.0","17.0","9.0","29.0","11.0","5.0","4.0","2.0",""
"Año 2012","Diciembre","Cuarto","Otros","","2.0","","1.0","1.0","5.0","2.0","3.0","2.0","","4.0","1.0","1.0","3.0","2.0","3.0","","","","","","1.0","","","","","","","1.0","2.0","4.0","1.0","","","5.0","2.0","7.0","1.0","3.0","2.0","","","1.0","25.0","","","","1.0","","1.0","","",""
"Año 2013","Enero","Primero","Usuaria","39.0","57.0","32.0","50.0","34.0","26.0","99.0","142.0","6.0","4.0","51.0","65.0","71.0","124.0","90.0","39.0","18.0","24.0","38.0","11.0","30.0","9.0","5.0","44.0","12.0","14.0","28.0","10.0","15.0","48.0","305.0","20.0","12.0","43.0","129.0","23.0","199.0","48.0","43.0","88.0","19.0","9.0","59.0","710.0","76.0","28.0","12.0","52.0","14.0","17.0","","5.0",""
"Año 2013","Enero","Primero","Familiares/Personas allegadas","7.0","36.0","22.0","22.0","16.0","19.0","45.0","73.0","1.0","2.0","27.0","31.0","26.0","38.0","31.0","15.0","6.0","17.0","13.0","7.0","17.0","16.0","1.0","18.0","5.0","10.0","16.0","4.0","7.0","19.0","110.0","9.0","4.0","17.0","39.0","9.0","71.0","9.0","13.0","43.0","11.0","5.0","9.0","306.0","24.0","8.0","7.0","33.0","7.0","14.0","3.0","4.0",""
"Año 2013","Enero","Primero","Otros","1.0","3.0","","3.0","2.0","1.0","4.0","2.0","1.0","","3.0","4.0","3.0","4.0","4.0","2.0","","","","","1.0","1.0","","3.0","","2.0","2.0","1.0","2.0","2.0","6.0","","","2.0","3.0","","9.0","2.0","","1.0","","","1.0","22.0","4.0","2.0","","3.0","1.0","","","",""
"Año 2013","Febrero","Primero","Usuaria","29.0","57.0","38.0","37.0","24.0","27.0","92.0","121.0","5.0","3.0","47.0","53.0","52.0","69.0","88.0","17.0","23.0","11.0","33.0","5.0","26.0","2.0","1.0","23.0","10.0","11.0","14.0","7.0","12.0","42.0","242.0","32.0","15.0","36.0","94.0","34.0","166.0","28.0","17.0","45.0","14.0","10.0","44.0","641.0","59.0","34.0","7.0","43.0","18.0","9.0","2.0","1.0",""
"Año 2013","Febrero","Primero","Familiares/Personas allegadas","15.0","29.0","23.0","27.0","20.0","9.0","49.0","84.0","2.0","3.0","23.0","26.0","14.0","36.0","49.0","17.0","10.0","8.0","9.0","","5.0","4.0","2.0","9.0","2.0","3.0","13.0","4.0","4.0","13.0","111.0","10.0","7.0","9.0","59.0","12.0","54.0","7.0","9.0","32.0","9.0","11.0","19.0","322.0","29.0","8.0","4.0","28.0","15.0","4.0","","1.0",""
"Año 2013","Febrero","Primero","Otros","1.0","4.0","1.0","2.0","","","4.0","3.0","1.0","","2.0","6.0","5.0","3.0","2.0","2.0","","1.0","","1.0","","1.0","","","","1.0","","","1.0","1.0","5.0","","","1.0","1.0","","7.0","4.0","2.0","1.0","","","4.0","27.0","2.0","2.0","1.0","2.0","1.0","","","1.0",""
"Año 2013","Marzo","Primero","Usuaria","30.0","67.0","26.0","41.0","15.0","32.0","85.0","151.0","8.0","3.0","29.0","54.0","50.0","86.0","87.0","19.0","9.0","12.0","33.0","4.0","13.0","4.0","2.0","34.0","15.0","21.0","23.0","6.0","14.0","28.0","246.0","25.0","11.0","31.0","78.0","31.0","157.0","50.0","35.0","54.0","12.0","19.0","49.0","684.0","65.0","28.0","12.0","34.0","21.0","10.0","2.0","6.0",""
"Año 2013","Marzo","Primero","Familiares/Personas allegadas","13.0","30.0","16.0","25.0","9.0","15.0","44.0","74.0","2.0","5.0","14.0","30.0","20.0","42.0","33.0","10.0","3.0","7.0","12.0","2.0","8.0","1.0","1.0","10.0","3.0","3.0","15.0","2.0","12.0","14.0","134.0","16.0","5.0","8.0","36.0","11.0","61.0","17.0","11.0","23.0","4.0","3.0","19.0","267.0","16.0","18.0","6.0","13.0","13.0","4.0","1.0","1.0",""
"Año 2013","Marzo","Primero","Otros","","","3.0","2.0","","","2.0","5.0","1.0","","2.0","3.0","2.0","","6.0","","","","","1.0","1.0","","4.0","1.0","","","1.0","","","1.0","8.0","","","","7.0","2.0","4.0","","3.0","4.0","1.0","","","16.0","2.0","","","3.0","","","","",""
"Año 2013","Abril","Segundo","Usuaria","34.0","67.0","29.0","49.0","21.0","28.0","103.0","155.0","5.0","3.0","38.0","57.0","54.0","101.0","95.0","36.0","7.0","25.0","23.0","11.0","21.0","9.0","4.0","59.0","14.0","16.0","21.0","7.0","14.0","44.0","264.0","34.0","13.0","27.0","114.0","39.0","174.0","31.0","26.0","60.0","10.0","17.0","52.0","628.0","87.0","39.0","11.0","35.0","18.0","15.0","4.0","4.0",""
"Año 2013","Abril","Segundo","Familiares/Personas allegadas","24.0","41.0","18.0","34.0","10.0","22.0","71.0","96.0","5.0","","24.0","18.0","30.0","51.0","43.0","12.0","4.0","4.0","20.0","7.0","7.0","5.0","2.0","18.0","1.0","15.0","15.0","3.0","7.0","19.0","140.0","14.0","8.0","10.0","40.0","12.0","110.0","12.0","11.0","26.0","9.0","6.0","23.0","327.0","28.0","18.0","4.0","30.0","16.0","7.0","2.0","1.0",""
"Año 2013","Abril","Segundo","Otros","5.0","1.0","1.0","2.0","3.0","","3.0","12.0","1.0","","2.0","1.0","4.0","4.0","3.0","1.0","1.0","1.0","","2.0","2.0","","","1.0","","","1.0","","","1.0","6.0","1.0","","","5.0","1.0","8.0","","1.0","3.0","","","","34.0","3.0","4.0","","1.0","2.0","1.0","","",""
"Año 2013","Mayo","Segundo","Usuaria","36.0","54.0","40.0","56.0","26.0","46.0","120.0","131.0","9.0","6.0","41.0","78.0","72.0","103.0","92.0","45.0","3.0","24.0","27.0","7.0","20.0","9.0","6.0","66.0","14.0","21.0","35.0","3.0","11.0","33.0","296.0","28.0","13.0","49.0","94.0","37.0","182.0","44.0","25.0","56.0","18.0","17.0","50.0","645.0","66.0","38.0","17.0","42.0","17.0","28.0","2.0","8.0",""
"Año 2013","Mayo","Segundo","Familiares/Personas allegadas","12.0","39.0","34.0","43.0","13.0","22.0","53.0","94.0","8.0","5.0","23.0","29.0","27.0","47.0","34.0","15.0","4.0","9.0","11.0","2.0","8.0","5.0","1.0","15.0","2.0","12.0","16.0","6.0","13.0","18.0","160.0","7.0","4.0","13.0","64.0","10.0","77.0","20.0","9.0","31.0","9.0","8.0","23.0","332.0","42.0","21.0","11.0","26.0","14.0","10.0","4.0","2.0",""
"Año 2013","Mayo","Segundo","Otros","1.0","1.0","1.0","3.0","7.0","","7.0","1.0","","1.0","3.0","2.0","5.0","5.0","2.0","","1.0","1.0","2.0","1.0","1.0","","","1.0","","1.0","","1.0","","5.0","6.0","1.0","","1.0","4.0","1.0","8.0","1.0","1.0","","","2.0","5.0","19.0","4.0","1.0","2.0","","2.0","1.0","","",""
"Año 2013","Junio","Segundo","Usuaria","34.0","75.0","46.0","71.0","41.0","56.0","114.0","197.0","10.0","7.0","69.0","89.0","66.0","120.0","111.0","39.0","13.0","24.0","23.0","6.0","17.0","5.0","10.0","36.0","13.0","10.0","34.0","8.0","16.0","57.0","323.0","26.0","6.0","48.0","121.0","42.0","178.0","69.0","38.0","85.0","20.0","15.0","52.0","692.0","80.0","39.0","13.0","45.0","16.0","20.0","3.0","2.0",""
"Año 2013","Junio","Segundo","Familiares/Personas allegadas","44.0","59.0","41.0","42.0","26.0","37.0","80.0","176.0","9.0","1.0","30.0","36.0","29.0","43.0","55.0","15.0","12.0","5.0","11.0","4.0","10.0","4.0","1.0","17.0","5.0","8.0","11.0","4.0","12.0","39.0","141.0","13.0","5.0","24.0","60.0","6.0","96.0","20.0","25.0","31.0","7.0","10.0","21.0","336.0","48.0","23.0","11.0","25.0","10.0","12.0","2.0","2.0",""
"Año 2013","Junio","Segundo","Otros","2.0","3.0","2.0","6.0","1.0","2.0","5.0","11.0","","","7.0","2.0","6.0","4.0","4.0","2.0","","","1.0","","","","","1.0","1.0","","","1.0","1.0","2.0","3.0","","1.0","","8.0","4.0","6.0","5.0","1.0","1.0","2.0","1.0","1.0","34.0","","1.0","","2.0","1.0","","","",""
