"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2019","Tercero","980.0","1086.0","485.0","969.0","726.0","510.0","2289.0","1962.0","107.0","50.0","1074.0","735.0","2033.0","1402.0","1300.0","565.0","93.0","232.0","250.0","95.0","135.0","97.0","49.0","404.0","72.0","274.0","427.0","229.0","272.0","435.0","3953.0","767.0","440.0","855.0","2503.0","506.0","3301.0","450.0","210.0","710.0","188.0","162.0","620.0","6779.0","1725.0","571.0","258.0","478.0","878.0","220.0","71.0","140.0"
"Año 2019","Cuarto","894.0","1175.0","503.0","950.0","530.0","541.0","2088.0","1744.0","98.0","52.0","863.0","715.0","1851.0","1408.0","959.0","497.0","110.0","247.0","216.0","83.0","108.0","99.0","46.0","286.0","79.0","253.0","460.0","120.0","299.0","409.0","3723.0","628.0","380.0","831.0","2479.0","559.0","3108.0","389.0","229.0","653.0","200.0","114.0","561.0","6707.0","1732.0","451.0","239.0","393.0","825.0","194.0","74.0","80.0"
"Año 2020","Primero","792.0","1177.0","563.0","923.0","509.0","450.0","1541.0","1360.0","86.0","57.0","565.0","665.0","1391.0","1122.0","970.0","453.0","67.0","224.0","191.0","76.0","120.0","136.0","32.0","301.0","60.0","193.0","406.0","87.0","178.0","368.0","3292.0","546.0","321.0","624.0","2098.0","453.0","2687.0","369.0","177.0","598.0","176.0","102.0","521.0","5575.0","1499.0","475.0","230.0","329.0","728.0","195.0","50.0","77.0"
"Año 2020","Segundo","678.0","1092.0","451.0","836.0","616.0","433.0","1510.0","1163.0","104.0","42.0","701.0","697.0","1371.0","1287.0","917.0","385.0","67.0","156.0","197.0","51.0","87.0","80.0","49.0","241.0","57.0","203.0","313.0","110.0","243.0","457.0","3085.0","539.0","316.0","529.0","1806.0","391.0","2761.0","312.0","208.0","627.0","145.0","227.0","490.0","5103.0","1378.0","468.0","197.0","329.0","760.0","183.0","56.0","72.0"
"Año 2020","Tercero","1109.0","1474.0","481.0","1141.0","732.0","600.0","1962.0","1567.0","97.0","40.0","728.0","766.0","1741.0","1409.0","1111.0","462.0","92.0","209.0","256.0","63.0","135.0","130.0","48.0","327.0","97.0","332.0","478.0","119.0","207.0","448.0","3873.0","688.0","446.0","788.0","2354.0","644.0","3246.0","410.0","218.0","739.0","178.0","270.0","580.0","6070.0","1728.0","435.0","260.0","446.0","751.0","184.0","76.0","109.0"
"Año 2020","Cuarto","786.0","1284.0","544.0","1081.0","546.0","406.0","1643.0","1397.0","98.0","26.0","733.0","522.0","1377.0","1164.0","946.0","368.0","65.0","179.0","235.0","61.0","90.0","172.0","46.0","286.0","76.0","215.0","303.0","105.0","321.0","455.0","3289.0","604.0","322.0","664.0","1897.0","491.0","3126.0","380.0","188.0","560.0","183.0","190.0","492.0","5715.0","1498.0","418.0","202.0","334.0","789.0","206.0","46.0","65.0"
"Año 2021","Primero","630.0","1058.0","568.0","1043.0","507.0","408.0","1519.0","1338.0","106.0","39.0","657.0","616.0","1147.0","1076.0","919.0","383.0","90.0","201.0","202.0","65.0","75.0","103.0","34.0","338.0","56.0","231.0","330.0","95.0","159.0","501.0","3348.0","536.0","347.0","537.0","1747.0","366.0","2681.0","370.0","169.0","596.0","160.0","165.0","513.0","5580.0","1491.0","389.0","177.0","284.0","742.0","170.0","58.0","81.0"
"Año 2021","Segundo","680.0","1219.0","692.0","1275.0","655.0","535.0","1735.0","1530.0","113.0","40.0","741.0","661.0","1574.0","1287.0","993.0","474.0","83.0","191.0","221.0","72.0","88.0","139.0","39.0","321.0","89.0","247.0","333.0","106.0","389.0","506.0","3763.0","613.0","326.0","698.0","2104.0","426.0","3126.0","440.0","208.0","700.0","212.0","185.0","552.0","6504.0","1636.0","446.0","240.0","364.0","799.0","196.0","70.0","85.0"
"Año 2021","Tercero","1035.0","1542.0","571.0","1314.0","759.0","536.0","1954.0","1579.0","134.0","70.0","1168.0","631.0","2013.0","1338.0","1101.0","505.0","116.0","250.0","235.0","101.0","125.0","131.0","48.0","339.0","85.0","292.0","437.0","118.0","284.0","611.0","4012.0","752.0","449.0","841.0","2391.0","517.0","3391.0","483.0","221.0","643.0","180.0","189.0","608.0","6964.0","1933.0","358.0","205.0","398.0","719.0","223.0","75.0","117.0"
"Año 2021","Cuarto","955.0","1387.0","558.0","1318.0","597.0","520.0","1653.0","1655.0","120.0","47.0","773.0","624.0","1629.0","1332.0","956.0","536.0","109.0","215.0","224.0","85.0","97.0","165.0","45.0","341.0","52.0","270.0","448.0","109.0","601.0","476.0","3821.0","729.0","405.0","680.0","2360.0","567.0","2978.0","453.0","248.0","648.0","168.0","202.0","538.0","6406.0","1690.0","437.0","198.0","399.0","832.0","234.0","72.0","73.0"
