"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2014","Primero","192.0","199.0","138.0","84.0","110.0","91.0","257.0","436.0","22.0","6.0","127.0","164.0","137.0","314.0","232.0","84.0","25.0","40.0","40.0","26.0","25.0","17.0","17.0","105.0","14.0","73.0","117.0","39.0","44.0","111.0","872.0","162.0","63.0","211.0","449.0","100.0","424.0","104.0","51.0","97.0","43.0","72.0","116.0","1295.0","254.0","65.0","26.0","55.0","93.0","24.0","5.0","0.0"
"Año 2014","Segundo","163.0","231.0","109.0","110.0","138.0","83.0","273.0","433.0","26.0","12.0","138.0","229.0","152.0","267.0","264.0","107.0","20.0","51.0","53.0","23.0","31.0","20.0","21.0","101.0","20.0","90.0","105.0","38.0","34.0","85.0","1029.0","205.0","51.0","202.0","473.0","123.0","427.0","117.0","62.0","90.0","61.0","29.0","133.0","1354.0","313.0","81.0","8.0","70.0","101.0","53.0","8.0","11.0"
"Año 2014","Tercero","144.0","257.0","123.0","101.0","134.0","81.0","298.0","516.0","42.0","10.0","168.0","197.0","170.0","301.0","295.0","104.0","46.0","47.0","42.0","30.0","31.0","19.0","18.0","128.0","15.0","91.0","126.0","41.0","48.0","111.0","844.0","215.0","77.0","194.0","465.0","126.0","521.0","141.0","58.0","114.0","41.0","30.0","150.0","1366.0","337.0","84.0","28.0","89.0","110.0","47.0","17.0","19.0"
"Año 2014","Cuarto","142.0","270.0","102.0","120.0","96.0","92.0","293.0","464.0","27.0","13.0","131.0","183.0","108.0","244.0","280.0","85.0","31.0","50.0","40.0","22.0","26.0","19.0","17.0","108.0","16.0","78.0","130.0","39.0","66.0","115.0","806.0","193.0","70.0","148.0","404.0","116.0","440.0","120.0","51.0","111.0","41.0","23.0","176.0","1297.0","327.0","58.0","18.0","70.0","110.0","56.0","4.0","19.0"
"Año 2015","Primero","127.0","288.0","129.0","171.0","116.0","143.0","419.0","505.0","41.0","16.0","140.0","190.0","150.0","251.0","234.0","85.0","19.0","34.0","54.0","12.0","27.0","14.0","15.0","102.0","27.0","106.0","119.0","32.0","79.0","90.0","887.0","153.0","78.0","179.0","452.0","103.0","521.0","89.0","53.0","121.0","55.0","28.0","120.0","1191.0","289.0","89.0","12.0","68.0","93.0","59.0","5.0","28.0"
"Año 2015","Segundo","208.0","282.0","130.0","202.0","140.0","174.0","430.0","490.0","33.0","27.0","135.0","190.0","191.0","269.0","279.0","108.0","21.0","61.0","43.0","19.0","27.0","24.0","15.0","103.0","35.0","96.0","129.0","50.0","73.0","105.0","921.0","120.0","75.0","207.0","435.0","89.0","630.0","118.0","62.0","127.0","67.0","64.0","139.0","1375.0","344.0","65.0","25.0","77.0","115.0","55.0","25.0","16.0"
"Año 2015","Tercero","248.0","293.0","124.0","175.0","135.0","161.0","407.0","533.0","38.0","9.0","184.0","223.0","171.0","295.0","320.0","77.0","38.0","53.0","61.0","15.0","18.0","21.0","13.0","124.0","35.0","84.0","149.0","65.0","66.0","147.0","1126.0","258.0","66.0","227.0","495.0","106.0","498.0","128.0","69.0","144.0","52.0","92.0","159.0","1318.0","418.0","61.0","39.0","72.0","114.0","62.0","7.0","21.0"
"Año 2015","Cuarto","174.0","244.0","118.0","253.0","124.0","153.0","307.0","493.0","43.0","14.0","153.0","185.0","154.0","302.0","291.0","82.0","33.0","47.0","45.0","20.0","24.0","13.0","21.0","99.0","29.0","71.0","117.0","45.0","48.0","152.0","922.0","121.0","75.0","201.0","460.0","88.0","501.0","106.0","79.0","106.0","45.0","66.0","179.0","1223.0","414.0","76.0","22.0","81.0","101.0","82.0","15.0","13.0"
"Año 2016","Primero","215.0","255.0","121.0","264.0","109.0","159.0","393.0","482.0","33.0","20.0","239.0","215.0","178.0","280.0","291.0","93.0","30.0","54.0","39.0","26.0","18.0","14.0","15.0","94.0","37.0","57.0","116.0","46.0","51.0","108.0","968.0","129.0","78.0","224.0","377.0","92.0","549.0","116.0","68.0","126.0","59.0","92.0","93.0","1274.0","423.0","92.0","24.0","65.0","94.0","88.0","21.0","15.0"
"Año 2016","Segundo","266.0","317.0","112.0","223.0","129.0","191.0","359.0","504.0","38.0","10.0","169.0","213.0","180.0","304.0","285.0","89.0","28.0","56.0","63.0","24.0","43.0","16.0","16.0","136.0","33.0","46.0","141.0","32.0","63.0","126.0","880.0","138.0","94.0","208.0","522.0","107.0","586.0","128.0","68.0","108.0","61.0","82.0","127.0","1339.0","480.0","84.0","26.0","81.0","110.0","85.0","35.0","26.0"
