Año,Trimestre,Provincia,Numero_ordenes
2011,Primero,Navarra,66
2011,Primero,Araba/Álava,36
2011,Primero,Gipuzkoa,89
2011,Primero,Bizkaia,94
2011,Primero,La Rioja,71
2011,Primero,Ceuta,38
2011,Primero,Melilla,0
2011,Segundo,Almería,63
2011,Segundo,Cádiz,203
2011,Segundo,Córdoba,114
2011,Segundo,Granada,91
2011,Segundo,Huelva,147
2011,Segundo,Jaén,85
2011,Segundo,Málaga,246
2011,Segundo,Sevilla,507
2011,Segundo,Huesca,18
2011,Segundo,Teruel,21
2011,Segundo,Zaragoza,137
2011,Segundo,Asturias,193
2011,Segundo,Illes Balears,206
2011,Segundo,Las Palmas,359
2011,Segundo,Santa Cruz de Tenerife,299
2011,Segundo,Cantabria,76
2011,Segundo,Ávila,40
2011,Segundo,Burgos,75
2011,Segundo,León,80
2011,Segundo,Palencia,19
2011,Segundo,Salamanca,20
2011,Segundo,Segovia,20
2011,Segundo,Soria,21
2011,Segundo,Valladolid,79
2011,Segundo,Zamora,11
2011,Segundo,Albacete,94
2011,Segundo,Ciudad Real,107
2011,Segundo,Cuenca,48
2011,Segundo,Guadalajara,26
2011,Segundo,Toledo,186
2011,Segundo,Barcelona,1000
2011,Segundo,Girona,194
2011,Segundo,Lleida,65
2011,Segundo,Tarragona,212
2011,Segundo,Alicante/Alacant,646
2011,Segundo,Castellón/Castelló,149
2011,Segundo,Valencia/València,434
2011,Segundo,Badajoz,93
2011,Segundo,Cáceres,34
2011,Segundo,A Coruña,95
2011,Segundo,Lugo,49
2011,Segundo,Ourense,37
2011,Segundo,Pontevedra,105
2011,Segundo,Madrid,1469
2011,Segundo,Murcia,363
2011,Segundo,Navarra,80
2011,Segundo,Araba/Álava,84
2011,Segundo,Gipuzkoa,79
2011,Segundo,Bizkaia,73
2011,Segundo,La Rioja,70
2011,Segundo,Ceuta,34
2011,Segundo,Melilla,2
2011,Tercero,Almería,83
2011,Tercero,Cádiz,260
2011,Tercero,Córdoba,119
2011,Tercero,Granada,102
2011,Tercero,Huelva,125
2011,Tercero,Jaén,105
2011,Tercero,Málaga,250
2011,Tercero,Sevilla,448
2011,Tercero,Huesca,24
2011,Tercero,Teruel,20
2011,Tercero,Zaragoza,141
2011,Tercero,Asturias,190
2011,Tercero,Illes Balears,244
2011,Tercero,Las Palmas,376
2011,Tercero,Santa Cruz de Tenerife,333
2011,Tercero,Cantabria,74
2011,Tercero,Ávila,60
2011,Tercero,Burgos,63
2011,Tercero,León,78
2011,Tercero,Palencia,38
2011,Tercero,Salamanca,15
2011,Tercero,Segovia,21
2011,Tercero,Soria,22
2011,Tercero,Valladolid,82
2011,Tercero,Zamora,27
2011,Tercero,Albacete,98
2011,Tercero,Ciudad Real,110
2011,Tercero,Cuenca,46
2011,Tercero,Guadalajara,58
2011,Tercero,Toledo,157
2011,Tercero,Barcelona,1079
2011,Tercero,Girona,238
2011,Tercero,Lleida,68
2011,Tercero,Tarragona,247
2011,Tercero,Alicante/Alacant,671
2011,Tercero,Castellón/Castelló,112
2011,Tercero,Valencia/València,438
2011,Tercero,Badajoz,153
2011,Tercero,Cáceres,64
2011,Tercero,A Coruña,105
2011,Tercero,Lugo,60
2011,Tercero,Ourense,42
2011,Tercero,Pontevedra,113
2011,Tercero,Madrid,1487
2011,Tercero,Murcia,441
2011,Tercero,Navarra,68
2011,Tercero,Araba/Álava,61
2011,Tercero,Gipuzkoa,87
2011,Tercero,Bizkaia,103
2011,Tercero,La Rioja,65
2011,Tercero,Ceuta,10
2011,Tercero,Melilla,0
2011,Cuarto,Almería,49
2011,Cuarto,Cádiz,288
2011,Cuarto,Córdoba,113
2011,Cuarto,Granada,89
2011,Cuarto,Huelva,129
2011,Cuarto,Jaén,83
2011,Cuarto,Málaga,270
2011,Cuarto,Sevilla,378
2011,Cuarto,Huesca,31
2011,Cuarto,Teruel,14
2011,Cuarto,Zaragoza,138
2011,Cuarto,Asturias,217
2011,Cuarto,Illes Balears,168
2011,Cuarto,Las Palmas,309
2011,Cuarto,Santa Cruz de Tenerife,240
2011,Cuarto,Cantabria,71
2011,Cuarto,Ávila,24
2011,Cuarto,Burgos,70
2011,Cuarto,León,125
2011,Cuarto,Palencia,12
2011,Cuarto,Salamanca,14
2011,Cuarto,Segovia,22
2011,Cuarto,Soria,17
2011,Cuarto,Valladolid,96
2011,Cuarto,Zamora,21
2011,Cuarto,Albacete,73
2011,Cuarto,Ciudad Real,91
2011,Cuarto,Cuenca,23
2011,Cuarto,Guadalajara,51
2011,Cuarto,Toledo,157
2011,Cuarto,Barcelona,952
2011,Cuarto,Girona,236
2011,Cuarto,Lleida,55
2011,Cuarto,Tarragona,201
2011,Cuarto,Alicante/Alacant,565
2011,Cuarto,Castellón/Castelló,115
2011,Cuarto,Valencia/València,459
2011,Cuarto,Badajoz,134
2011,Cuarto,Cáceres,81
2011,Cuarto,A Coruña,113
2011,Cuarto,Lugo,35
2011,Cuarto,Ourense,82
2011,Cuarto,Pontevedra,127
2011,Cuarto,Madrid,1323
2011,Cuarto,Murcia,336
2011,Cuarto,Navarra,72
2011,Cuarto,Araba/Álava,63
2011,Cuarto,Gipuzkoa,85
2011,Cuarto,Bizkaia,99
2011,Cuarto,La Rioja,50
2011,Cuarto,Ceuta,11
2011,Cuarto,Melilla,0
2012,Primero,Almería,80
2012,Primero,Cádiz,331
2012,Primero,Córdoba,106
2012,Primero,Granada,91
2012,Primero,Huelva,117
2012,Primero,Jaén,100
2012,Primero,Málaga,288
2012,Primero,Sevilla,373
2012,Primero,Huesca,13
2012,Primero,Teruel,11
2012,Primero,Zaragoza,117
2012,Primero,Asturias,163
2012,Primero,Illes Balears,179
2012,Primero,Las Palmas,268
2012,Primero,Santa Cruz de Tenerife,224
2012,Primero,Cantabria,83
2012,Primero,Ávila,27
2012,Primero,Burgos,46
2012,Primero,León,110
2012,Primero,Palencia,14
2012,Primero,Salamanca,20
2012,Primero,Segovia,19
2012,Primero,Soria,13
2012,Primero,Valladolid,100
2012,Primero,Zamora,21
2012,Primero,Albacete,66
2012,Primero,Ciudad Real,107
2012,Primero,Cuenca,41
2012,Primero,Guadalajara,46
2012,Primero,Toledo,141
2012,Primero,Barcelona,1004
2012,Primero,Girona,204
2012,Primero,Lleida,59
2012,Primero,Tarragona,206
2012,Primero,Alicante/Alacant,437
2012,Primero,Castellón/Castelló,125
2012,Primero,Valencia/València,456
2012,Primero,Badajoz,124
2012,Primero,Cáceres,82
2012,Primero,A Coruña,104
2012,Primero,Lugo,53
2012,Primero,Ourense,80
2012,Primero,Pontevedra,136
2012,Primero,Madrid,1347
2012,Primero,Murcia,297
2012,Primero,Navarra,55
2012,Primero,Araba/Álava,27
2012,Primero,Gipuzkoa,61
2012,Primero,Bizkaia,80
2012,Primero,La Rioja,61
2012,Primero,Ceuta,30
