"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2006","Enero","Granada","31-40 años","41-50 años","1.0"
"Año 2006","Enero","Málaga","21-30 años","No consta","1.0"
"Año 2006","Enero","Málaga","31-40 años","41-50 años","1.0"
"Año 2006","Enero","Zaragoza","31-40 años","31-40 años","1.0"
"Año 2006","Enero","Illes Balears","21-30 años","41-50 años","1.0"
"Año 2006","Enero","Madrid","31-40 años","31-40 años","1.0"
"Año 2006","Enero","Murcia","21-30 años","21-30 años","1.0"
"Año 2006","Enero","Gipuzkoa","31-40 años","31-40 años","1.0"
"Año 2006","Febrero","Sevilla","31-40 años","31-40 años","1.0"
"Año 2006","Febrero","Barcelona","21-30 años","18-20 años","1.0"
"Año 2006","Febrero","Lleida","51-60 años","31-40 años","1.0"
"Año 2006","Febrero","Madrid","31-40 años","31-40 años","1.0"
"Año 2006","Marzo","Asturias","21-30 años","31-40 años","1.0"
"Año 2006","Marzo","Valladolid","41-50 años","No consta","1.0"
"Año 2006","Marzo","Cuenca","61-70 años","61-70 años","1.0"
"Año 2006","Marzo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2006","Marzo","Lleida","31-40 años","31-40 años","1.0"
"Año 2006","Marzo","Alicante/Alacant","31-40 años","31-40 años","1.0"
"Año 2006","Marzo","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2006","Marzo","Madrid","61-70 años","61-70 años","1.0"
"Año 2006","Marzo","Murcia","51-60 años","61-70 años","1.0"
"Año 2006","Abril","Almería","31-40 años","31-40 años","1.0"
"Año 2006","Abril","Málaga","61-70 años","No consta","1.0"
"Año 2006","Abril","Las Palmas","61-70 años",">=85 años","1.0"
"Año 2006","Abril","Burgos","31-40 años","31-40 años","1.0"
"Año 2006","Abril","Alicante/Alacant","41-50 años","51-60 años","1.0"
"Año 2006","Mayo","Las Palmas","41-50 años","51-60 años","1.0"
"Año 2006","Mayo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2006","Mayo","Cáceres","31-40 años","21-30 años","1.0"
